model,params,mean,std
deeplabv3,11.020337,9.352427527109782,0.2389421347173589
lraspp,3.218138,8.486212250391642,0.35724542721892244
ssdlite,3.7589,17.862157719930014,0.19610794119945757
frcnn,18.886708,21.885532156626383,0.2296913696669989
lraspp-hybrid,4.005086,18.643773454030356,0.1880263061012053
ssdlite-hybrid,11.807285,19.519204743703206,0.20693731684989145
frcnn-hybrid,27.018389,22.249096603393554,0.4526468839610511
